ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pct_return
GS,2009-10-05,2009-10-22,180.86038927459717,179.94997328948975,67,-61.997871002197144,-0.005033805294564258
AMD,2009-10-05,2009-10-26,5.1525750954151155,5.617189885616303,841,389.74103855919844,0.09017137675773276
CRM,2009-10-02,2009-10-28,13.631812499999999,14.692649809360505,899,952.6927411150953,0.07782070868129286
AMD,2009-10-27,2009-10-28,5.422710076332092,4.847574904680252,1784,-1027.0411462268821,-0.10606046857678585
COP,2009-09-03,2009-10-29,33.97055573844909,38.12724718284607,325,1349.9247194290174,0.12236159680167623
MCD,2009-10-05,2009-12-03,56.928451526641844,61.939016220092775,506,2534.345734886171,0.0880151235293313
NFLX,2009-10-02,2009-12-07,0.6366041632890701,0.8135930104851723,24343,4307.439507294715,0.2780202477496756
AMZN,2009-10-05,2009-12-08,4.514756059169769,6.711642652511597,2571,5647.19543148184,0.48660139430563604
PFE,2009-10-28,2009-12-09,16.336437910079955,17.097709075927735,1212,921.6606530075102,0.046599581257433055
ORLY,2009-10-30,2009-12-10,2.5052519484758378,2.515408555746079,5752,57.420805018426435,0.004054126083574221
XOM,2009-12-09,2009-12-11,73.03649999999999,72.79358683013916,457,-112.0113186263981,-0.003325914711970417
NFLX,2009-12-10,2009-12-18,0.7955405797362327,0.7606194775998593,20292,-709.61900455129,-0.043896066430642415
