ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,mod_type,pct_return
GS,2009-06-04,2009-06-18,144.7223188934326,139.89002671051026,115,-556.7136010360696,Zhan Module B (EMA Breakout),-0.03339009642652727
NVDA,2009-06-10,2009-06-23,0.2856427399814129,0.2661168892979622,49526,-968.0372809485792,Zhan Module B (EMA Breakout),-0.06835759482184377
AMZN,2009-06-16,2009-06-23,4.187092442750931,3.946525668025017,4041,-973.1303366674182,Zhan Module B (EMA Breakout),-0.057454373891936555
PFE,2009-06-18,2009-07-06,13.8968880944252,13.655407955169679,1197,-290.05172668885973,Zhan Module B (EMA Breakout),-0.017376562120579555
GS,2009-06-25,2009-07-06,141.64079232788086,142.58867366027832,114,107.05847189331018,Zhan Module B (EMA Breakout),0.006692149322373389
BAC,2009-06-26,2009-07-07,12.346170152664184,12.143924618721009,1016,-206.48146248626625,Zhan Module B (EMA Breakout),-0.016381236565051943
MSFT,2009-06-02,2009-07-08,21.370680610656738,22.298844466209413,788,730.3931181755082,Zhan Module B (EMA Breakout),0.04343164695886362
AMZN,2009-07-16,2009-07-27,4.223110694646835,4.3098437979221345,2712,234.2201760826113,Zhan Module B (EMA Breakout),0.020537729069058264
CRM,2009-07-16,2009-07-30,9.829912309169769,10.927033635616302,971,1064.304807979584,Zhan Module B (EMA Breakout),0.11161048969105156
COP,2009-07-27,2009-07-30,34.48156474685669,33.11371440124512,503,-689.0287238426207,Zhan Module B (EMA Breakout),-0.039669033457545286
ORLY,2009-06-19,2009-08-04,2.4999163352251053,2.60602927839756,5533,586.1229145731924,Zhan Module B (EMA Breakout),0.04244659778300134
JNJ,2009-06-19,2009-08-07,56.328149236679074,59.93001908493042,294,1057.949735385896,Zhan Module B (EMA Breakout),0.06394440252451834
WMT,2009-07-30,2009-08-07,16.52492474555969,16.421785305023196,876,-91.35014990996956,Zhan Module B (EMA Breakout),-0.006241446912743666
AAPL,2009-07-16,2009-08-18,5.208317082881927,5.7696137881278995,3167,1776.6266655139943,Zhan Module B (EMA Breakout),0.10776930365679445
COST,2009-08-04,2009-08-18,49.624798473358155,47.516230915069585,356,-751.6500507507309,Zhan Module B (EMA Breakout),-0.042490198915781735
COP,2009-08-07,2009-08-18,34.10021343040466,32.33653818130493,520,-918.1111295318578,Zhan Module B (EMA Breakout),-0.05172035807632767
UNH,2009-08-19,2009-08-31,27.763875,27.956014313697818,629,119.85562831592809,Zhan Module B (EMA Breakout),0.0069204789928574055
